,city,lat,temp,humidity,cloudiness,wind
0,New Norfolk,-42.78,57.2,41,75,5.82
1,Provideniya,64.42,35.6,80,90,20.13
2,Maloy,1.0,89.6,67,8,2.71
3,Nouakchott,18.08,79.16,81,20,15.46
4,Nara,34.68,69.8,60,75,6.93
5,Puerto Ayora,-0.74,70.2,100,44,12.88
6,Guilin,25.28,60.8,100,90,3.94
7,Dalby,-27.18,84.2,35,0,3.36
8,Butaritari,3.07,85.19,100,12,11.65
9,Alyangula,-13.85,88.83,80,0,9.98
10,Madimba,4.42,73.4,100,75,5.82
11,Haines Junction,60.75,36.72,86,20,7.4
12,Los Llanos de Aridane,28.66,68.0,72,80,6.93
13,Sisimiut,66.94,-12.47,100,0,3.83
14,Bambous Virieux,-20.34,71.6,73,75,14.99
15,Hobart,-42.88,57.2,41,75,5.82
16,Mataura,-46.19,66.2,65,92,19.71
17,Lianran,24.92,62.6,72,75,15.66
18,Bilibino,68.06,8.42,70,80,3.04
19,Ballina,54.11,49.64,99,92,9.53
20,Jamestown,-33.21,67.82,35,36,8.41
21,Brewster,41.76,50.92,76,90,11.41
22,Pisco,-13.71,62.6,88,0,12.75
23,Kualakapuas,-3.01,90.68,62,8,3.6
24,Yellowknife,62.45,26.6,92,20,8.05
25,La Ronge,55.1,42.8,48,5,9.17
26,Vanimo,-2.67,83.3,100,48,2.93
27,Hami,42.84,40.73,71,92,4.16
28,Punta Arenas,-53.16,39.2,64,0,5.82
29,Vaini,15.34,72.86,90,0,3.71
30,Nouadhibou,20.93,75.2,69,80,13.87
31,Ushuaia,-54.81,41.0,65,40,19.46
32,Mackay,53.65,41.9,60,5,8.05
33,Kapaa,22.08,83.39,69,20,13.87
34,Bredasdorp,-34.53,60.8,72,12,1.12
35,Ulladulla,-35.36,62.6,55,90,14.99
36,Busselton,-33.64,62.15,100,88,7.63
37,Grand-Santi,4.27,85.05,56,24,5.28
38,Oksfjord,70.24,32.27,86,0,9.17
39,Muisne,0.61,69.8,97,12,3.94
